bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
8,8100521.0,1,11,4,2,3,6,0,0,1,0,0,1,0,1,13.45500598,52.4623009,2,0.0,08 to 12
4,4400727.0,1,2,3,2,9,1,2,0,0,0,0,1,0,1,13.29111618,52.49387309,1,0.0,00 to 04
4,4400830.0,1,7,1,3,0,1,1,0,0,0,0,0,1,1,13.30534822,52.48407191,1,0.0,04 to 08
2,2400521.0,1,22,6,2,1,5,2,0,1,0,0,0,0,0,13.43737099,52.517556,1,0.0,20 to 24
4,4400727.0,1,17,1,3,0,1,2,0,0,0,1,0,0,1,13.29974796,52.48791866,1,0.0,16 to 20
7,4501153.0,1,14,6,3,2,6,0,0,1,0,0,0,0,0,13.33629164,52.47837396,1,0.0,12 to 16
7,7100205.0,1,13,2,3,0,4,0,0,0,1,0,0,1,0,13.36256795,52.49909824,2,0.0,12 to 16
7,7400721.0,1,15,7,2,1,1,0,0,1,0,0,0,0,0,13.38588423,52.47553062,1,0.0,12 to 16
3,3200206.0,1,13,5,3,2,6,0,0,1,0,0,0,0,0,13.39826708,52.57738163,1,0.0,12 to 16
1,1400940.0,1,9,1,3,5,3,0,0,1,0,0,0,0,0,13.36525689,52.55808889,1,0.0,08 to 12
9,9100101.0,2,12,7,3,2,2,0,0,0,0,1,0,1,1,13.4577519,52.4918167,2,0.0,12 to 16
4,4501151.0,1,17,5,3,2,1,2,0,1,0,0,0,0,0,13.32702026,52.47781709,1,0.0,16 to 20
4,4300414.0,1,11,5,3,0,1,0,1,0,0,0,0,0,0,13.28696175,52.51024968,1,1.0,08 to 12
4,4400726.0,1,15,2,3,5,3,0,0,1,0,0,1,0,0,13.29063655,52.49378756,2,0.0,12 to 16
1,1100102.0,1,15,5,3,5,2,0,0,1,0,0,0,0,1,13.369821,52.51582959,1,0.0,12 to 16
2,2400522.0,1,18,4,3,3,6,1,1,0,0,0,0,0,0,13.44252783,52.51689063,1,1.0,16 to 20
12,12200414.0,1,14,5,2,3,7,0,0,1,0,0,1,0,1,13.30881102,52.55713178,2,0.0,12 to 16
1,1100310.0,1,10,6,3,5,2,0,0,1,0,0,0,0,0,13.41961997,52.52520178,1,0.0,08 to 12
2,2500835.0,1,21,4,3,6,7,2,1,0,1,0,0,0,0,13.45285824,52.50107535,2,0.5,20 to 24
5,5200634.0,1,15,4,3,2,6,0,0,1,0,0,0,1,1,13.20312525,52.5117929,2,0.0,12 to 16
3,3601452.0,1,7,3,3,0,7,0,0,1,0,0,0,1,1,13.44418945,52.52943224,2,0.0,04 to 08
6,6400735.0,1,11,4,3,5,2,0,0,1,0,0,0,0,0,13.17542061,52.41996231,1,0.0,08 to 12
7,7601236.0,1,9,3,2,6,2,0,0,0,1,0,1,0,0,13.36193572,52.41362926,2,0.0,08 to 12
3,3500936.0,1,7,3,3,3,6,0,1,1,0,0,0,0,0,13.44815487,52.54717101,2,0.5,04 to 08
3,3501037.0,1,17,3,3,5,3,2,0,1,0,0,0,0,1,13.46906298,52.56297781,1,0.0,16 to 20
1,1100310.0,1,13,1,3,5,3,0,0,1,0,0,0,0,0,13.4091764,52.51674525,1,0.0,12 to 16
1,1100205.0,1,18,5,3,4,6,2,1,0,0,0,0,1,0,13.37764319,52.50957906,2,0.5,16 to 20
4,4200308.0,1,6,3,3,3,6,2,0,1,0,0,1,0,1,13.28260654,52.52843034,2,0.0,04 to 08
11,11300722.0,1,4,2,3,6,2,2,0,1,1,0,0,0,1,13.47675274,52.51343456,2,0.0,04 to 08
6,6300527.0,1,3,1,3,3,6,2,0,1,0,0,0,1,1,13.26399353,52.43534916,2,0.0,00 to 04
7,7400927.0,1,9,4,3,3,6,0,0,1,0,0,1,0,0,13.3886979,52.4695124,2,0.0,08 to 12
4,4300414.0,1,15,7,3,1,5,0,0,1,0,1,0,0,0,13.29769472,52.51090969,2,0.0,12 to 16
